"least purchase price","最小购买的金额"
"if empty, default value is 100 yuan","如果不输入任何值，默认为100元"
"if empty, default value is 300 yuan","如果不输入任何值，默认为300元"
"Gift card account %s can use only %s times","礼品卡‘%s’只能使用%s次"
"balance","面值"
"expires date","过期时间"
"Batch Gift Card Account General Settings","批量生成礼品卡设置"
"generate how many time","生成多少张礼品卡"
"if empty , default three times","如果这个值为空，默认生成3个礼品卡号"
"date format error","礼品卡日期格式错误"
"Reward gift card generate successful","礼品卡生成成功"
"already used times","已经使用的次数"
"gift card generate successful","生成礼品卡成功"
"Code Format","礼品卡号码格式"
"Code Length","礼品卡号码长度"
"Code Prefix","礼品卡前缀"
"Code Suffix","礼品卡后缀"
"Dash Every X Characters","重复的字符串"
"balance","金额"
"Excluding prefix, suffix and separators.","包含前缀后缀和分割符"
"WARNING: Save your configuration before running generation process.","注意：在生成前请保存设置信息"
"if empty, default value is 100 yuan","如果为空，默认是100元"
"if empty no separation.","默认为空"
"expires date","过期日期"
"generate how many time","生成多少张礼品卡"
"if empty , default three times","如果不输入值，默认是三张"
